,Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
21,21,1279377872168401_1280502222055966,431918433581020_1279377872168401,,2017-12-23 17:07:14,0,0,0,0,0,0,0,0,I have to remove all microsoft updates manually since they all slow down my computer -- hate them,[],[],remove microsoft updates manually since slow computer hate,"['remove', 'microsoft', 'updates', 'manually', 'since', 'slow', 'computer', 'hate']","[u'remov', u'microsoft', u'updat', u'manual', u'sinc', u'slow', u'comput', u'hate']",I have to remove all microsoft updates manually since they all slow down my computer -- hate them
22,22,1279377872168401_1281769341929254,431918433581020_1279377872168401,1279377872168401_1280502222055966,2017-12-25 03:03:40,0,0,0,0,0,0,0,0,"I am not a tech but is it safe to do so? I would suggest you to check on your antivirus and/or antispyware too. I knew since last summer that my device (like all the devices I had) was hacked and when I went to London Drugs and Best Buy, the tech staff refused to look into my device. My Windows kept updating and asking for more space (like GB storage within a week) and I got a confirmation from Microsoft last month that it wasn`t normal. My McAfee wasn`t even able to detect anything. Microsoft said that even an antispyware/antivirus etc... can be hacked too. Be careful and...be safe! Happy Holidays!",[],[],tech safe would suggest check antivirus antispyware knew since last summer device like devices hacked went London Drugs Best Buy tech staff refused look device Windows kept updating asking space like GB storage within week got confirmation Microsoft last month normal McAfee even able detect anything Microsoft said even antispyware antivirus etc hacked careful safe Happy Holidays,"['tech', 'safe', 'would', 'suggest', 'check', 'antivirus', 'antispyware', 'knew', 'since', 'last', 'summer', 'device', 'like', 'devices', 'hacked', 'went', 'London', 'Drugs', 'Best', 'Buy', 'tech', 'staff', 'refused', 'look', 'device', 'Windows', 'kept', 'updating', 'asking', 'space', 'like', 'GB', 'storage', 'within', 'week', 'got', 'confirmation', 'Microsoft', 'last', 'month', 'normal', 'McAfee', 'even', 'able', 'detect', 'anything', 'Microsoft', 'said', 'even', 'antispyware', 'antivirus', 'etc', 'hacked', 'careful', 'safe', 'Happy', 'Holidays']","[u'tech', u'safe', u'would', u'suggest', u'check', u'antivirus', u'antispywar', u'knew', u'sinc', u'last', u'summer', u'devic', u'like', u'devic', u'hack', u'went', u'london', u'drug', u'best', u'buy', u'tech', u'staff', u'refus', u'look', u'devic', u'window', u'kept', u'updat', u'ask', u'space', u'like', 'gb', u'storag', u'within', u'week', u'got', u'confirm', u'microsoft', u'last', u'month', u'normal', u'mcafe', u'even', u'abl', u'detect', u'anyth', u'microsoft', u'said', u'even', u'antispywar', u'antivirus', u'etc', u'hack', u'care', u'safe', u'happi', u'holiday']","I am not a tech but is it safe to do so? I would suggest you to check on your antivirus and/or antispyware too.  I knew since last summer that my device (like all the devices I had)  was hacked and when I went to London Drugs and Best Buy, the tech staff refused to look into my device. My Windows kept updating and asking for more space (like 5GB storage within a week) and I got a confirmation from Microsoft last month that it wasn`t normal.  My McAfee wasn`t even able to detect anything.  Microsoft said that even an antispyware/antivirus etc... can be hacked too. Be careful and...be safe!  Happy Holidays!"
23,23,1279377872168401_1300155226757332,431918433581020_1279377872168401,,2018-01-14 23:05:14,0,0,0,0,0,0,0,0,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice. com",[],[],Hello Loan Seekers need urgent yes worry offer kinds loan low affordable interest rate financially Squeezed seek funds pay credits debts seek finance set business need private business loans various purposes seek loans carry large projects Real Estate seek funding various processes LOAN APPLICATION INFORMATION FORM Name Age State Country Phone Number Loan Amount Needed Loan Duration Contact us via Email com,"['Hello', 'Loan', 'Seekers', 'need', 'urgent', 'yes', 'worry', 'offer', 'kinds', 'loan', 'low', 'affordable', 'interest', 'rate', 'financially', 'Squeezed', 'seek', 'funds', 'pay', 'credits', 'debts', 'seek', 'finance', 'set', 'business', 'need', 'private', 'business', 'loans', 'various', 'purposes', 'seek', 'loans', 'carry', 'large', 'projects', 'Real', 'Estate', 'seek', 'funding', 'various', 'processes', 'LOAN', 'APPLICATION', 'INFORMATION', 'FORM', 'Name', 'Age', 'State', 'Country', 'Phone', 'Number', 'Loan', 'Amount', 'Needed', 'Loan', 'Duration', 'Contact', 'us', 'via', 'Email', 'com']","[u'hello', u'loan', u'seeker', u'need', u'urgent', u'yes', u'worri', u'offer', u'kind', u'loan', u'low', u'afford', u'interest', u'rate', u'financi', u'squeez', u'seek', u'fund', u'pay', u'credit', u'debt', u'seek', u'financ', u'set', u'busi', u'need', u'privat', u'busi', u'loan', u'various', u'purpos', u'seek', u'loan', u'carri', u'larg', u'project', u'real', u'estat', u'seek', u'fund', u'various', u'process', u'loan', u'applic', u'inform', u'form', u'name', u'age', u'state', u'countri', u'phone', u'number', u'loan', u'amount', u'need', u'loan', u'durat', u'contact', 'us', u'via', u'email', u'com']","Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail. com"
24,24,1278404635599058_1285856111520577,431918433581020_1278404635599058,,2017-12-29 21:07:20,2,1,0,0,1,0,0,0,We need to unplug useless devices no longer needed like the Liberals.,[],[],need unplug useless devices longer needed like Liberals,"['need', 'unplug', 'useless', 'devices', 'longer', 'needed', 'like', 'Liberals']","[u'need', u'unplug', u'useless', u'devic', u'longer', u'need', u'like', u'liber']",We need to unplug useless devices no longer needed like the Liberals.
25,25,1278404635599058_1300155306757324,431918433581020_1278404635599058,,2018-01-14 23:05:26,0,0,0,0,0,0,0,0,"Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice. com",[],[],Hello Loan Seekers need urgent yes worry offer kinds loan low affordable interest rate financially Squeezed seek funds pay credits debts seek finance set business need private business loans various purposes seek loans carry large projects Real Estate seek funding various processes LOAN APPLICATION INFORMATION FORM Name Age State Country Phone Number Loan Amount Needed Loan Duration Contact us via Email com,"['Hello', 'Loan', 'Seekers', 'need', 'urgent', 'yes', 'worry', 'offer', 'kinds', 'loan', 'low', 'affordable', 'interest', 'rate', 'financially', 'Squeezed', 'seek', 'funds', 'pay', 'credits', 'debts', 'seek', 'finance', 'set', 'business', 'need', 'private', 'business', 'loans', 'various', 'purposes', 'seek', 'loans', 'carry', 'large', 'projects', 'Real', 'Estate', 'seek', 'funding', 'various', 'processes', 'LOAN', 'APPLICATION', 'INFORMATION', 'FORM', 'Name', 'Age', 'State', 'Country', 'Phone', 'Number', 'Loan', 'Amount', 'Needed', 'Loan', 'Duration', 'Contact', 'us', 'via', 'Email', 'com']","[u'hello', u'loan', u'seeker', u'need', u'urgent', u'yes', u'worri', u'offer', u'kind', u'loan', u'low', u'afford', u'interest', u'rate', u'financi', u'squeez', u'seek', u'fund', u'pay', u'credit', u'debt', u'seek', u'financ', u'set', u'busi', u'need', u'privat', u'busi', u'loan', u'various', u'purpos', u'seek', u'loan', u'carri', u'larg', u'project', u'real', u'estat', u'seek', u'fund', u'various', u'process', u'loan', u'applic', u'inform', u'form', u'name', u'age', u'state', u'countri', u'phone', u'number', u'loan', u'amount', u'need', u'loan', u'durat', u'contact', 'us', u'via', u'email', u'com']","Hello Loan Seekers, Do you need an urgent? If yes worry no more, For we offer all kinds of loan at a low and affordable interest rate. * Are you financially Squeezed? * Do you seek funds to pay off credits and debts * Do you seek finance to set up your own business? * Are you in need of private or business loans for various purposes? * Do you seek loans to carry out large projects/Real Estate * Do you seek funding for various other processes? LOAN APPLICATION INFORMATION FORM * Name: * Age: * State: * Country: * Phone Number: * Loan Amount Needed: * Loan Duration: Contact us now via Email: __________fidelityloanlenderservice@gmail. com"
26,26,1277816212324567_1277852962320892,431918433581020_1277816212324567,,2017-12-20 20:15:37,1,1,0,0,0,0,0,0,Can't finance a ham sandwich at the moment thanks. And have already seen to the charity of my choice earlier in December.,[],[],finance ham sandwich moment thanks already seen charity choice earlier December,"['finance', 'ham', 'sandwich', 'moment', 'thanks', 'already', 'seen', 'charity', 'choice', 'earlier', 'December']","[u'financ', u'ham', u'sandwich', u'moment', u'thank', u'alreadi', u'seen', u'chariti', u'choic', u'earlier', u'decemb']",Can't finance a ham sandwich at the moment thanks. And have already seen to the charity of my choice earlier in December.
27,27,1277816212324567_1277959445643577,431918433581020_1277816212324567,,2017-12-21 00:00:04,0,0,0,0,0,0,0,0,I love it!,[],[],love,['love'],[u'love'],I love it!
28,28,1277816212324567_1278389982267190,431918433581020_1277816212324567,,2017-12-21 11:23:18,0,0,0,0,0,0,0,0,<3,[],[],,[],[],<3
29,29,1276884089084446_1277108232395365,431918433581020_1276884089084446,,2017-12-19 23:00:04,0,0,0,0,0,0,0,0,Amazing page!,[],[],Amazing page,"['Amazing', 'page']","[u'amaz', u'page']",Amazing page!
30,30,1276884089084446_1277648359008019,431918433581020_1276884089084446,,2017-12-20 13:22:26,0,0,0,0,0,0,0,0,Very savvy and money smart to check your statements,[],[],savvy money smart check statements,"['savvy', 'money', 'smart', 'check', 'statements']","[u'savvi', u'money', u'smart', u'check', u'statement']",Very savvy and money smart to check your statements :)
31,31,1275937295845792_1276749005764621,431918433581020_1275937295845792,,2017-12-19 11:00:17,0,0,0,0,0,0,0,0,<3,[],[],,[],[],<3
32,32,1275937295845792_1279384382167750,431918433581020_1275937295845792,,2017-12-22 11:53:14,0,0,0,0,0,0,0,0,I miss you,[],[],miss,['miss'],[u'miss'],I miss you
33,33,1275937295845792_1279385345500987,431918433581020_1275937295845792,,2017-12-22 11:54:37,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
34,34,1275937295845792_1279385392167649,431918433581020_1275937295845792,,2017-12-22 11:54:44,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
35,35,1275937295845792_1279385465500975,431918433581020_1275937295845792,,2017-12-22 11:54:50,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
36,36,1275937295845792_1279385545500967,431918433581020_1275937295845792,,2017-12-22 11:54:57,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
37,37,1273470519425803_1273603752745813,431918433581020_1273470519425803,,2017-12-15 22:19:35,2,2,0,0,0,0,0,0,Shop Canada please.,[],[],Shop Canada please,"['Shop', 'Canada', 'please']","[u'shop', u'canada', u'pleas']",Shop Canada please.
38,38,1273470519425803_1274138789358976,431918433581020_1273470519425803,,2017-12-16 13:10:21,0,0,0,0,0,0,0,0,What a great resource and helpful to the travel budget,[],[],great resource helpful travel budget,"['great', 'resource', 'helpful', 'travel', 'budget']","[u'great', u'resourc', u'help', u'travel', u'budget']",What a great resource and helpful to the travel budget :)
39,39,1273470519425803_1275761965863325,431918433581020_1273470519425803,,2017-12-18 10:52:45,0,0,0,0,0,0,0,0,If I buy something stateside and can't or won't pay border tax what happens to it? Is there room for manipulation here or are there safequards in place?,[],[],buy something stateside pay border tax happens room manipulation safequards place,"['buy', 'something', 'stateside', 'pay', 'border', 'tax', 'happens', 'room', 'manipulation', 'safequards', 'place']","[u'buy', u'someth', u'statesid', u'pay', u'border', u'tax', u'happen', u'room', u'manipul', u'safequard', u'place']",If I buy something stateside and can't or won't pay border tax what happens to it? Is there room for manipulation here or are there safequards in place?
